Acc. Filename,Er-v-2p-1,Er-v-2p-2,Er_max,PGV,PEAK_PULSE,Tp,Number of pulses
RSN1101_KOBE_AMA090.AT2,1.451157e-01,1.789407e-01,1.789407e-01,3.240564e-01,4.470572e+01,0,2.040000e+00,0
RSN1104_KOBE_FKS000.AT2,7.398952e-02,8.168461e-02,8.168461e-02,1.556741e-01,3.147913e+01,0,3.740000e+00,0
RSN1104_KOBE_FKS090.AT2,9.475985e-02,1.268279e-01,1.268279e-01,2.215878e-01,3.049609e+01,0,2.350000e+00,0
RSN1106_KOBE_KJM-UP.AT2,4.251033e-01,1.080453e-01,4.251033e-01,5.331486e-01,4.042247e+01,3.486557e+01,1.680000e+00,1
RSN1106_KOBE_KJM000.AT2,2.729305e-01,1.193573e-01,2.729305e-01,3.922878e-01,9.167150e+01,0,1.520000e+00,0
RSN1106_KOBE_KJM090.AT2,4.042351e-01,1.859263e-01,4.042351e-01,5.901615e-01,7.614108e+01,7.522015e+01,1.300000e+00,1
RSN1108_KOBE_KBU000.AT2,4.693885e-01,2.827759e-01,4.693885e-01,7.521644e-01,5.554406e+01,5.564008e+01,1.480000e+00,1
RSN1108_KOBE_KBU090.AT2,3.216022e-01,2.267820e-01,3.216022e-01,5.483842e-01,3.040684e+01,2.399594e+01,2.230000e+00,1
RSN1111_KOBE_NIS000.AT2,1.604373e-01,1.173532e-01,1.604373e-01,2.777906e-01,4.686011e+01,0,5.600000e-01,0
RSN1111_KOBE_NIS090.AT2,2.155408e-01,1.180624e-01,2.155408e-01,3.336032e-01,3.839633e+01,0,5.350000e+00,0
RSN1114_KOBE_PRI-UP.AT2,5.854778e-01,8.587738e-02,5.854778e-01,6.713552e-01,6.214084e+01,6.041537e+01,2.320000e+00,1
RSN1114_KOBE_PRI000.AT2,5.920953e-01,1.191875e-01,5.920953e-01,7.112828e-01,9.068511e+01,9.038122e+01,2.140000e+00,1
RSN1114_KOBE_PRI090.AT2,3.474452e-01,1.449673e-01,3.474452e-01,4.924125e-01,5.123714e+01,3.603150e+01,4.600000e+00,1
RSN1116_KOBE_SHI000.AT2,3.522978e-01,1.903283e-01,3.522978e-01,5.426261e-01,3.139589e+01,2.996530e+01,1.390000e+00,1
RSN1119_KOBE_TAZ-UP.AT2,3.706981e-01,1.436047e-01,3.706981e-01,5.143028e-01,3.493160e+01,2.553487e+01,1.360000e+00,1
RSN1119_KOBE_TAZ000.AT2,5.296114e-01,2.261372e-01,5.296114e-01,7.557486e-01,6.853841e+01,5.684121e+01,2.010000e+00,1
RSN1119_KOBE_TAZ090.AT2,6.142452e-01,1.361523e-01,6.142452e-01,7.503976e-01,8.634107e+01,6.093409e+01,1.740000e+00,1
RSN1120_KOBE_TAK000.AT2,4.648403e-01,9.445230e-02,4.648403e-01,5.592926e-01,1.207283e+02,1.225371e+02,1.640000e+00,1
RSN1120_KOBE_TAK090.AT2,4.301495e-01,1.418940e-01,4.301495e-01,5.720435e-01,1.230071e+02,1.227448e+02,1.630000e+00,1
RSN1141_DINAR_DIN090.AT2,1.366002e-01,1.374340e-01,1.374340e-01,2.740343e-01,4.533778e+01,0,1.660000e+00,0
RSN1148_KOCAELI_ARE090.AT2,8.384008e-01,1.219362e-01,8.384008e-01,9.603370e-01,4.007631e+01,3.793302e+01,5.805000e+00,1
RSN1158_KOCAELI_DZC180.AT2,6.348822e-01,1.731165e-01,6.348822e-01,8.079987e-01,5.886580e+01,5.791240e+01,4.400000e+00,1
RSN1158_KOCAELI_DZC270.AT2,4.033454e-01,1.991489e-01,4.033454e-01,6.024942e-01,5.566780e+01,4.612907e+01,2.030000e+00,1
RSN1161_KOCAELI_GBZ000.AT2,5.081439e-01,1.081745e-01,5.081439e-01,6.163184e-01,4.460633e+01,2.996479e+01,8.460000e+00,1
RSN1161_KOCAELI_GBZ270.AT2,7.438008e-01,1.002729e-01,7.438008e-01,8.440737e-01,3.267096e+01,3.091847e+01,5.955000e+00,1
RSN1165_KOCAELI_IZT090.AT2,6.845015e-01,5.299783e-02,6.845015e-01,7.374993e-01,3.827978e+01,3.336691e+01,5.075000e+00,1
RSN1176_KOCAELI_YPT-UP.AT2,4.657318e-01,1.406535e-01,4.657318e-01,6.063853e-01,3.077766e+01,2.652121e+01,4.190000e+00,1
RSN1176_KOCAELI_YPT060.AT2,6.366064e-01,1.490998e-01,6.366064e-01,7.857062e-01,6.973170e+01,6.146437e+01,4.530000e+00,1
RSN1176_KOCAELI_YPT150.AT2,4.622634e-01,2.500775e-01,4.622634e-01,7.123410e-01,7.189454e+01,6.458701e+01,4.730000e+00,2
RSN1180_CHICHI_CHY002-N.AT2,3.372021e-01,1.810272e-01,3.372021e-01,5.182293e-01,5.622159e+01,5.663452e+01,6.972000e+00,1
RSN1180_CHICHI_CHY002-W.AT2,2.104699e-01,2.090039e-01,2.104699e-01,4.194739e-01,4.282845e+01,0,6.600000e+00,0
RSN1182_CHICHI_CHY006-N.AT2,1.980627e-01,1.254726e-01,1.980627e-01,3.235353e-01,4.233552e+01,0,1.116000e+00,0
RSN1182_CHICHI_CHY006-W.AT2,1.598456e-01,3.684182e-01,3.684182e-01,5.282638e-01,6.025854e+01,5.365326e+01,2.020000e+00,1
RSN1193_CHICHI_CHY024-E.AT2,4.677326e-01,1.911906e-01,4.677326e-01,6.589231e-01,5.113615e+01,4.817388e+01,3.980000e+00,1
RSN1193_CHICHI_CHY024-N.AT2,4.207927e-01,1.508639e-01,4.207927e-01,5.716565e-01,4.353062e+01,3.978780e+01,5.315000e+00,1
RSN1193_CHICHI_CHY024-V.AT2,4.046922e-01,1.398504e-01,4.046922e-01,5.445426e-01,4.729235e+01,4.715774e+01,4.230000e+00,1
RSN1194_CHICHI_CHY025-E.AT2,2.585728e-01,1.586957e-01,2.585728e-01,4.172685e-01,5.091941e+01,0,4.400000e+00,0
RSN1194_CHICHI_CHY025-N.AT2,2.002843e-01,1.391031e-01,2.002843e-01,3.393874e-01,3.288287e+01,0,5.315000e+00,0
RSN1194_CHICHI_CHY025-V.AT2,3.314495e-01,3.391084e-01,3.391084e-01,6.705579e-01,3.804423e+01,3.562519e+01,4.265000e+00,2
RSN1195_CHICHI_CHY026-E.AT2,2.871068e-01,1.559992e-01,2.871068e-01,4.431060e-01,4.095282e+01,0,4.860000e+00,0
RSN1197_CHICHI_CHY028-E.AT2,1.269859e-01,3.081227e-01,3.081227e-01,4.351085e-01,6.141366e+01,0,2.540000e+00,0
RSN1197_CHICHI_CHY028-N.AT2,2.995950e-01,2.884653e-01,2.995950e-01,5.880603e-01,8.577774e+01,8.381823e+01,8.150000e-01,2
RSN1197_CHICHI_CHY028-V.AT2,4.701971e-01,6.744389e-02,4.701971e-01,5.376410e-01,3.117592e+01,1.917423e+01,4.910000e+00,1
RSN1198_CHICHI_CHY029-E.AT2,1.193542e-01,7.217045e-02,1.193542e-01,1.915246e-01,3.527121e+01,0,6.950000e-01,0
RSN1198_CHICHI_CHY029-N.AT2,3.977888e-01,1.365510e-01,3.977888e-01,5.343397e-01,3.971185e+01,3.664155e+01,5.900000e+00,1
RSN1201_CHICHI_CHY034-N.AT2,1.934559e-01,1.582683e-01,1.934559e-01,3.517243e-01,4.515067e+01,0,1.132000e+00,0
RSN1201_CHICHI_CHY034-W.AT2,2.953624e-01,7.795051e-02,2.953624e-01,3.733129e-01,3.495631e+01,0,1.952000e+00,0
RSN1202_CHICHI_CHY035-E.AT2,3.379812e-01,1.306766e-01,3.379812e-01,4.686579e-01,4.366253e+01,4.349340e+01,1.195000e+00,1
RSN1202_CHICHI_CHY035-N.AT2,1.650076e-01,1.843175e-01,1.843175e-01,3.493251e-01,3.098647e+01,0,4.910000e+00,0
RSN1203_CHICHI_CHY036-E.AT2,1.281583e-01,8.729775e-02,1.281583e-01,2.154561e-01,4.172848e+01,0,1.065000e+00,0
RSN1203_CHICHI_CHY036-N.AT2,3.019203e-01,1.877081e-01,3.019203e-01,4.896284e-01,4.478441e+01,0,5.870000e+00,0
RSN1205_CHICHI_CHY041-N.AT2,2.022095e-01,8.042498e-02,2.022095e-01,2.826345e-01,3.735344e+01,0,5.350000e-01,0
RSN1227_CHICHI_CHY074-E.AT2,2.309838e-01,1.261522e-01,2.309838e-01,3.571360e-01,3.143530e+01,0,1.715000e+00,0
RSN1231_CHICHI_CHY080-E.AT2,3.149081e-01,2.303263e-01,3.149081e-01,5.452344e-01,1.068164e+02,0,1.030000e+00,0
RSN1231_CHICHI_CHY080-N.AT2,2.830393e-01,2.725835e-01,2.830393e-01,5.556228e-01,9.272509e+01,9.287054e+01,1.010000e+00,2
RSN1231_CHICHI_CHY080-V.AT2,2.918690e-01,8.049258e-02,2.918690e-01,3.723615e-01,4.100523e+01,0,4.495000e+00,0
RSN1238_CHICHI_CHY092-N.AT2,2.485925e-01,1.768342e-01,2.485925e-01,4.254267e-01,3.471409e+01,0,6.564000e+00,0
