Acc. Filename,Er-v-2p-1,Er-v-2p-2,Er_max,PGV,PEAK_PULSE,Tp,Number of pulses
RSN1505_CHICHI_TCU068-N.AT2,9.041735e-01,6.798944e-03,9.041735e-01,9.109724e-01,2.641120e+02,2.388934e+02,1.021000e+01,1
RSN1505_CHICHI_TCU068-V.AT2,8.975159e-01,4.238875e-02,8.975159e-01,9.399047e-01,2.131408e+02,2.046988e+02,1.048500e+01,1
RSN1506_CHICHI_TCU070-E.AT2,1.108448e-01,2.304228e-01,2.304228e-01,3.412676e-01,4.756129e+01,0,4.865000e+00,0
RSN1506_CHICHI_TCU070-N.AT2,3.641018e-01,3.396864e-01,3.641018e-01,7.037881e-01,6.020799e+01,5.851416e+01,6.185000e+00,2
RSN1506_CHICHI_TCU070-V.AT2,4.089699e-01,1.888008e-01,4.089699e-01,5.977707e-01,3.623013e+01,3.529494e+01,4.770000e+00,1
RSN1507_CHICHI_TCU071-E.AT2,1.180633e-01,9.964523e-02,1.180633e-01,2.177086e-01,5.234080e+01,0,1.180000e+00,0
RSN1507_CHICHI_TCU071-N.AT2,2.885801e-01,6.365712e-02,2.885801e-01,3.522373e-01,6.760185e+01,0,6.955000e+00,0
RSN1507_CHICHI_TCU071-V.AT2,3.640155e-01,2.325661e-01,3.640155e-01,5.965817e-01,3.804844e+01,3.064724e+01,6.195000e+00,1
RSN1508_CHICHI_TCU072-E.AT2,1.902382e-01,9.311409e-02,1.902382e-01,2.833523e-01,7.195174e+01,0,8.800000e-01,0
RSN1508_CHICHI_TCU072-N.AT2,2.019648e-01,1.575010e-01,2.019648e-01,3.594658e-01,5.253681e+01,0,6.155000e+00,0
RSN1509_CHICHI_TCU074-E.AT2,2.892829e-01,2.127914e-01,2.892829e-01,5.020744e-01,7.037399e+01,0,1.815000e+00,0
RSN1509_CHICHI_TCU074-N.AT2,2.221644e-01,9.268172e-02,2.221644e-01,3.148461e-01,4.495922e+01,0,1.120000e+00,0
RSN150_COYOTELK_G06230.AT2,3.556350e-01,2.465743e-01,3.556350e-01,6.022093e-01,4.435902e+01,4.554052e+01,2.175000e+00,2
RSN1510_CHICHI_TCU075-E.AT2,7.269611e-01,4.260651e-02,7.269611e-01,7.695676e-01,1.095617e+02,1.038676e+02,5.590000e+00,1
RSN1510_CHICHI_TCU075-N.AT2,2.908683e-01,2.226886e-01,2.908683e-01,5.135568e-01,3.608427e+01,0,4.335000e+00,0
RSN1510_CHICHI_TCU075-V.AT2,4.186161e-01,1.851585e-01,4.186161e-01,6.037746e-01,5.092995e+01,4.817443e+01,3.420000e+00,1
RSN1511_CHICHI_TCU076-E.AT2,4.473094e-01,7.150303e-02,4.473094e-01,5.188124e-01,5.185051e+01,4.871027e+01,3.675000e+00,1
RSN1511_CHICHI_TCU076-N.AT2,3.017599e-01,6.931071e-02,3.017599e-01,3.710706e-01,5.976981e+01,0,6.545000e+00,0
RSN1511_CHICHI_TCU076-V.AT2,1.493348e-01,8.058787e-02,1.493348e-01,2.299227e-01,3.223528e+01,0,2.770000e+00,0
RSN1512_CHICHI_TCU078-E.AT2,9.682512e-02,1.053382e-01,1.053382e-01,2.021633e-01,4.023621e+01,0,1.015000e+00,0
RSN1512_CHICHI_TCU078-N.AT2,1.350654e-01,7.534783e-02,1.350654e-01,2.104132e-01,3.164139e+01,0,1.335000e+00,0
RSN1513_CHICHI_TCU079-E.AT2,2.003780e-01,1.654983e-01,2.003780e-01,3.658762e-01,7.055559e+01,0,6.750000e-01,0
RSN1513_CHICHI_TCU079-N.AT2,1.986426e-01,1.063363e-01,1.986426e-01,3.049789e-01,3.370948e+01,0,1.135000e+00,0
RSN1515_CHICHI_TCU082-E.AT2,6.744935e-01,6.717291e-02,6.744935e-01,7.416664e-01,5.492326e+01,4.408695e+01,1.171500e+01,1
RSN1515_CHICHI_TCU082-N.AT2,1.614511e-01,3.566212e-01,3.566212e-01,5.180724e-01,4.077418e+01,3.342483e+01,9.930000e+00,1
RSN1515_CHICHI_TCU082-V.AT2,3.403161e-01,2.082534e-01,3.403161e-01,5.485695e-01,3.495107e+01,3.322658e+01,4.740000e+00,1
RSN1517_CHICHI_TCU084-E.AT2,2.811570e-01,8.217221e-02,2.811570e-01,3.633292e-01,1.288389e+02,0,1.715000e+00,0
RSN1517_CHICHI_TCU084-N.AT2,1.262650e-01,1.309741e-01,1.309741e-01,2.572391e-01,4.811445e+01,0,3.395000e+00,0
RSN1519_CHICHI_TCU087-E.AT2,5.699152e-01,2.453268e-01,5.699152e-01,8.152419e-01,4.502310e+01,3.491535e+01,9.840000e+00,1
RSN1519_CHICHI_TCU087-N.AT2,5.429376e-01,9.260515e-02,5.429376e-01,6.355428e-01,4.048625e+01,4.009985e+01,4.285000e+00,1
RSN1519_CHICHI_TCU087-V.AT2,8.362737e-01,7.052802e-02,8.362737e-01,9.068017e-01,5.838630e+01,5.842853e+01,5.525000e+00,1
RSN1520_CHICHI_TCU088-N.AT2,5.658431e-01,6.354084e-02,5.658431e-01,6.293839e-01,3.478838e+01,1.300720e+01,1.237000e+01,1
RSN1521_CHICHI_TCU089-E.AT2,1.179034e-01,2.045578e-01,2.045578e-01,3.224612e-01,3.499621e+01,0,4.730000e+00,0
RSN1521_CHICHI_TCU089-N.AT2,1.646046e-01,1.653895e-01,1.653895e-01,3.299941e-01,3.315320e+01,0,3.855000e+00,0
RSN1527_CHICHI_TCU100-E.AT2,4.774159e-01,1.169844e-01,4.774159e-01,5.944003e-01,3.803876e+01,2.428573e+01,1.347500e+01,1
RSN1527_CHICHI_TCU100-N.AT2,3.677882e-01,1.351833e-01,3.677882e-01,5.029715e-01,4.294336e+01,4.257897e+01,6.685000e+00,1
RSN1527_CHICHI_TCU100-V.AT2,5.845143e-01,1.342527e-01,5.845143e-01,7.187670e-01,3.953237e+01,3.953654e+01,4.715000e+00,1
RSN1528_CHICHI_TCU101-E.AT2,7.207973e-01,3.150857e-02,7.207973e-01,7.523059e-01,7.681390e+01,5.847934e+01,9.895000e+00,1
RSN1528_CHICHI_TCU101-N.AT2,4.668569e-01,2.309567e-01,4.668569e-01,6.978137e-01,5.097429e+01,4.135082e+01,5.900000e+00,1
RSN1528_CHICHI_TCU101-V.AT2,7.372778e-01,7.638766e-02,7.372778e-01,8.136655e-01,4.670350e+01,4.277288e+01,4.925000e+00,1
RSN1529_CHICHI_TCU102-E.AT2,5.341188e-01,7.065723e-02,5.341188e-01,6.047760e-01,9.172360e+01,7.161028e+01,9.305000e+00,1
RSN1529_CHICHI_TCU102-N.AT2,3.052641e-01,1.317007e-01,3.052641e-01,4.369648e-01,6.642871e+01,0,4.710000e+00,0
RSN1529_CHICHI_TCU102-V.AT2,4.760341e-01,7.427199e-02,4.760341e-01,5.503061e-01,6.842881e+01,4.202176e+01,5.990000e+00,1
RSN1530_CHICHI_TCU103-E.AT2,6.559154e-01,1.567914e-01,6.559154e-01,8.127068e-01,7.025488e+01,6.959864e+01,6.025000e+00,1
RSN1530_CHICHI_TCU103-V.AT2,7.429214e-01,6.838222e-02,7.429214e-01,8.113036e-01,6.090099e+01,5.620887e+01,5.745000e+00,1
RSN1531_CHICHI_TCU104-E.AT2,4.239733e-01,9.255196e-02,4.239733e-01,5.165252e-01,3.097605e+01,2.522816e+01,1.065500e+01,1
RSN1531_CHICHI_TCU104-N.AT2,4.149975e-01,3.087704e-01,4.149975e-01,7.237679e-01,4.748855e+01,4.855372e+01,6.630000e+00,2
RSN1532_CHICHI_TCU105-E.AT2,3.496444e-01,1.356204e-01,3.496444e-01,4.852648e-01,3.298592e+01,2.916136e+01,5.760000e+00,1
RSN1532_CHICHI_TCU105-N.AT2,3.335802e-01,1.902743e-01,3.335802e-01,5.238546e-01,4.256695e+01,3.236026e+01,8.990000e+00,1
RSN1533_CHICHI_TCU106-E.AT2,1.466417e-01,3.317924e-01,3.317924e-01,4.784341e-01,3.837664e+01,3.196519e+01,7.185000e+00,1
RSN1533_CHICHI_TCU106-N.AT2,1.763481e-01,9.672289e-02,1.763481e-01,2.730710e-01,3.827821e+01,0,4.220000e+00,0
RSN1534_CHICHI_TCU107-E.AT2,1.318920e-01,2.399801e-01,2.399801e-01,3.718721e-01,3.417590e+01,0,7.460000e+00,0
RSN1534_CHICHI_TCU107-N.AT2,1.361247e-01,2.024980e-01,2.024980e-01,3.386227e-01,4.512443e+01,0,5.080000e+00,0
RSN1535_CHICHI_TCU109-E.AT2,3.720110e-01,1.982503e-01,3.720110e-01,5.702613e-01,5.689342e+01,4.679100e+01,6.765000e+00,2
RSN1535_CHICHI_TCU109-N.AT2,3.031049e-01,7.076170e-02,3.031049e-01,3.738666e-01,5.641760e+01,0,3.820000e+00,0
RSN1536_CHICHI_TCU110-E.AT2,2.584277e-01,1.504269e-01,2.584277e-01,4.088546e-01,5.659112e+01,0,2.670000e+00,0
RSN1536_CHICHI_TCU110-N.AT2,1.018417e-01,1.115962e-01,1.115962e-01,2.134378e-01,4.874858e+01,0,2.040000e+00,0
RSN1536_CHICHI_TCU110-V.AT2,1.964451e-01,1.455997e-01,1.964451e-01,3.420448e-01,3.266885e+01,0,5.970000e+00,0
RSN1537_CHICHI_TCU111-E.AT2,3.519371e-01,1.857282e-01,3.519371e-01,5.376653e-01,5.332082e+01,5.390044e+01,4.855000e+00,1
RSN1537_CHICHI_TCU111-N.AT2,1.481175e-01,1.341198e-01,1.481175e-01,2.822373e-01,3.217740e+01,0,5.360000e+00,0
RSN1538_CHICHI_TCU112-E.AT2,2.191758e-01,1.909385e-01,2.191758e-01,4.101143e-01,3.586379e+01,0,3.660000e+00,0
RSN1538_CHICHI_TCU112-N.AT2,2.575795e-01,1.526999e-01,2.575795e-01,4.102795e-01,4.024417e+01,0,3.835000e+00,0
RSN1540_CHICHI_TCU115-E.AT2,3.993502e-01,1.754566e-01,3.993502e-01,5.748068e-01,4.868947e+01,4.779347e+01,4.310000e+00,1
RSN1540_CHICHI_TCU115-N.AT2,2.517776e-01,1.859699e-01,2.517776e-01,4.377475e-01,4.253038e+01,0,5.085000e+00,0
RSN1541_CHICHI_TCU116-E.AT2,3.339366e-01,1.063260e-01,3.339366e-01,4.402626e-01,4.213796e+01,2.901664e+01,9.310000e+00,1
RSN1541_CHICHI_TCU116-N.AT2,2.662085e-01,8.931264e-02,2.662085e-01,3.555211e-01,5.227627e+01,0,7.045000e+00,0
RSN1541_CHICHI_TCU116-V.AT2,3.052067e-01,2.002638e-01,3.052067e-01,5.054704e-01,3.416502e+01,0,5.420000e+00,0
RSN1542_CHICHI_TCU117-E.AT2,3.795152e-01,1.562474e-01,3.795152e-01,5.357625e-01,5.629264e+01,4.670830e+01,5.690000e+00,1
RSN1542_CHICHI_TCU117-N.AT2,3.384487e-01,1.016499e-01,3.384487e-01,4.400986e-01,5.659645e+01,5.831137e+01,4.875000e+00,1
RSN1543_CHICHI_TCU118-N.AT2,1.569033e-01,2.878043e-01,2.878043e-01,4.447075e-01,3.574517e+01,0,6.850000e+00,0
RSN1545_CHICHI_TCU120-E.AT2,2.935477e-01,1.303665e-01,2.935477e-01,4.239143e-01,5.982462e+01,0,8.335000e+00,0
RSN1545_CHICHI_TCU120-N.AT2,3.645472e-01,1.186188e-01,3.645472e-01,4.831660e-01,3.465470e+01,3.202955e+01,5.655000e+00,1
RSN1545_CHICHI_TCU120-V.AT2,2.271254e-01,1.500709e-01,2.271254e-01,3.771962e-01,3.530034e+01,0,3.720000e+00,0
RSN1546_CHICHI_TCU122-E.AT2,4.050498e-01,1.858652e-01,4.050498e-01,5.909150e-01,4.215110e+01,3.502997e+01,8.940000e+00,1
RSN1546_CHICHI_TCU122-N.AT2,3.089194e-01,7.690021e-02,3.089194e-01,3.858196e-01,4.354281e+01,0,6.800000e+00,0
RSN1546_CHICHI_TCU122-V.AT2,3.767358e-01,1.905348e-01,3.767358e-01,5.672706e-01,4.110160e+01,3.705180e+01,6.340000e+00,2
RSN1547_CHICHI_TCU123-E.AT2,2.048682e-01,7.741937e-02,2.048682e-01,2.822876e-01,4.787112e+01,0,4.770000e+00,0
RSN1547_CHICHI_TCU123-N.AT2,2.021714e-01,1.062486e-01,2.021714e-01,3.084200e-01,3.669177e+01,0,3.295000e+00,0
RSN1548_CHICHI_TCU128-E.AT2,6.422218e-01,2.495010e-01,6.422218e-01,8.917228e-01,6.375697e+01,6.247972e+01,7.500000e+00,1
RSN1548_CHICHI_TCU128-N.AT2,6.318712e-01,1.169269e-01,6.318712e-01,7.487981e-01,6.265197e+01,5.994644e+01,4.630000e+00,1
RSN1548_CHICHI_TCU128-V.AT2,4.364115e-01,1.607311e-01,4.364115e-01,5.971426e-01,4.489489e+01,4.458390e+01,3.600000e+00,1
RSN1549_CHICHI_TCU129-E.AT2,1.965973e-01,3.009890e-01,3.009890e-01,4.975863e-01,6.282789e+01,0,6.930000e+00,0
RSN1549_CHICHI_TCU129-N.AT2,3.026392e-01,8.173531e-02,3.026392e-01,3.843745e-01,5.295587e+01,0,7.660000e+00,0
RSN1549_CHICHI_TCU129-V.AT2,2.213460e-01,4.246346e-02,2.213460e-01,2.638095e-01,3.884732e+01,0,6.630000e+00,0
RSN1550_CHICHI_TCU136-N.AT2,4.863658e-01,3.906071e-02,4.863658e-01,5.254265e-01,5.146588e+01,4.869359e+01,7.232000e+00,1
RSN1550_CHICHI_TCU136-V.AT2,5.243994e-01,1.175746e-01,5.243994e-01,6.419740e-01,3.332939e+01,3.114570e+01,5.228000e+00,1
RSN1550_CHICHI_TCU136-W.AT2,6.272515e-01,6.866671e-02,6.272515e-01,6.959183e-01,4.544715e+01,3.984900e+01,8.656000e+00,1
RSN1551_CHICHI_TCU138-N.AT2,1.313203e-01,1.195462e-01,1.313203e-01,2.508665e-01,3.899603e+01,0,1.988000e+00,0
RSN1551_CHICHI_TCU138-W.AT2,1.911695e-01,1.702972e-01,1.911695e-01,3.614667e-01,3.568405e+01,0,4.316000e+00,0
RSN1553_CHICHI_TCU141-W.AT2,3.355798e-01,1.383548e-01,3.355798e-01,4.739346e-01,4.583980e+01,4.534212e+01,4.676000e+00,1
RSN158_IMPVALL.H_H-AEP045.AT2,4.104397e-01,2.683587e-01,4.104397e-01,6.787985e-01,4.280898e+01,3.739989e+01,1.830000e+00,2
RSN159_IMPVALL.H_H-AGR003.AT2,5.616727e-01,7.838962e-02,5.616727e-01,6.400623e-01,3.533448e+01,3.246187e+01,1.950000e+00,1
RSN159_IMPVALL.H_H-AGR273.AT2,5.823407e-01,9.237001e-02,5.823407e-01,6.747107e-01,4.181937e+01,3.993350e+01,2.010000e+00,1
RSN1602_DUZCE_BOL000.AT2,1.963459e-01,2.526941e-01,2.526941e-01,4.490399e-01,5.594588e+01,0,5.810000e+00,0
RSN1602_DUZCE_BOL090.AT2,5.151449e-01,5.237159e-02,5.151449e-01,5.675165e-01,6.593600e+01,6.621365e+01,9.200000e-01,1
RSN1605_DUZCE_DZC180.AT2,3.162871e-01,3.834340e-01,3.834340e-01,6.997211e-01,7.119499e+01,5.303492e+01,5.630000e+00,2
RSN1605_DUZCE_DZC270.AT2,4.672338e-01,2.509890e-01,4.672338e-01,7.182228e-01,8.427080e+01,8.379072e+01,2.685000e+00,1
RSN160_IMPVALL.H_H-BCR140.AT2,2.472384e-01,2.369036e-01,2.472384e-01,4.841420e-01,4.676144e+01,0,8.750000e-01,0
RSN160_IMPVALL.H_H-BCR230.AT2,1.515705e-01,1.297531e-01,1.515705e-01,2.813236e-01,4.494543e+01,0,1.375000e+00,0
RSN1617_DUZCE_375-N.AT2,8.864558e-02,7.692404e-02,8.864558e-02,1.655696e-01,3.769195e+01,0,4.000000e-01,0
RSN161_IMPVALL.H_H-BRA225.AT2,6.366294e-01,1.918133e-01,6.366294e-01,8.284427e-01,3.660927e+01,3.518386e+01,3.950000e+00,1
RSN161_IMPVALL.H_H-BRA315.AT2,3.745520e-01,8.412548e-02,3.745520e-01,4.586775e-01,4.094236e+01,2.160793e+01,8.285000e+00,1
RSN1628_STELIAS_059V2180.AT2,2.509891e-01,2.018175e-01,2.509891e-01,4.528066e-01,3.487486e+01,0,2.005000e+00,0
RSN1633_MANJIL_ABBAR--L.AT2,2.754124e-01,6.809419e-02,2.754124e-01,3.435066e-01,4.324764e+01,0,2.980000e+00,0
RSN1633_MANJIL_ABBAR--T.AT2,2.383381e-01,2.115402e-01,2.383381e-01,4.498783e-01,5.271531e+01,0,2.300000e+00,0
RSN1633_MANJIL_ABBAR--V.AT2,5.448208e-01,4.760035e-02,5.448208e-01,5.924212e-01,4.326627e+01,3.127354e+01,4.120000e+00,1
RSN169_IMPVALL.H_H-DLT352.AT2,1.028005e-01,5.261646e-02,1.028005e-01,1.554169e-01,3.301993e+01,0,1.910000e+00,0
RSN170_IMPVALL.H_H-ECC002.AT2,3.093959e-01,2.192146e-01,3.093959e-01,5.286105e-01,3.844146e+01,0,2.620000e+00,0
RSN170_IMPVALL.H_H-ECC092.AT2,6.865611e-01,9.080613e-02,6.865611e-01,7.773672e-01,7.340660e+01,5.947182e+01,5.810000e+00,1
RSN171_IMPVALL.H_H-EMO000.AT2,7.356527e-01,4.095379e-02,7.356527e-01,7.766065e-01,7.295997e+01,5.772366e+01,4.210000e+00,1
RSN171_IMPVALL.H_H-EMO270.AT2,7.061125e-01,1.221865e-01,7.061125e-01,8.282990e-01,9.262415e+01,8.481415e+01,3.180000e+00,1
RSN173_IMPVALL.H_H-E10050.AT2,6.167286e-01,2.183061e-01,6.167286e-01,8.350347e-01,5.069003e+01,4.793942e+01,5.060000e+00,1
RSN173_IMPVALL.H_H-E10320.AT2,5.376743e-01,2.149086e-01,5.376743e-01,7.525828e-01,4.638666e+01,4.516575e+01,2.075000e+00,1
RSN174_IMPVALL.H_H-E11140.AT2,2.544784e-01,4.093180e-01,4.093180e-01,6.637964e-01,3.603151e+01,2.926394e+01,5.675000e+00,2
RSN174_IMPVALL.H_H-E11230.AT2,4.657614e-01,4.197748e-02,4.657614e-01,5.077389e-01,4.461931e+01,2.717395e+01,6.375000e+00,1
RSN1752_NWCHINA3_JIA270.AT2,7.008881e-01,1.107517e-01,7.008881e-01,8.116398e-01,3.533028e+01,3.492016e+01,1.100000e+00,1
RSN1787_HECTOR_HEC090.AT2,3.333194e-01,1.055887e-01,3.333194e-01,4.389081e-01,4.481690e+01,3.224852e+01,2.280000e+00,1
RSN178_IMPVALL.H_H-E03140.AT2,5.448570e-01,1.468887e-01,5.448570e-01,6.917457e-01,4.798079e+01,4.417150e+01,2.540000e+00,1
RSN178_IMPVALL.H_H-E03230.AT2,6.637020e-01,9.341441e-02,6.637020e-01,7.571164e-01,4.329976e+01,3.812108e+01,5.150000e+00,1
RSN179_IMPVALL.H_H-E04140.AT2,1.882211e-01,2.206336e-01,2.206336e-01,4.088547e-01,3.965758e+01,0,1.550000e+00,0
RSN179_IMPVALL.H_H-E04230.AT2,8.998118e-01,2.527754e-02,8.998118e-01,9.250893e-01,8.042311e+01,8.174972e+01,5.075000e+00,1
RSN180_IMPVALL.H_H-E05-UP.AT2,4.273017e-01,1.099379e-01,4.273017e-01,5.372396e-01,3.954849e+01,1.524432e+01,5.375000e+00,1
RSN180_IMPVALL.H_H-E05140.AT2,3.668537e-01,3.720084e-01,3.720084e-01,7.388620e-01,4.892523e+01,4.361292e+01,6.395000e+00,2
RSN180_IMPVALL.H_H-E05230.AT2,8.375775e-01,3.349093e-02,8.375775e-01,8.710684e-01,9.691741e+01,9.529179e+01,4.520000e+00,1
RSN181_IMPVALL.H_H-E06-UP.AT2,4.197497e-01,1.217742e-01,4.197497e-01,5.415240e-01,6.408232e+01,3.335847e+01,4.430000e+00,1
RSN181_IMPVALL.H_H-E06140.AT2,7.077745e-01,4.186275e-02,7.077745e-01,7.496372e-01,6.702139e+01,5.385600e+01,2.815000e+00,1
RSN181_IMPVALL.H_H-E06230.AT2,8.965949e-01,2.757847e-02,8.965949e-01,9.241734e-01,1.135544e+02,1.099984e+02,3.820000e+00,1
RSN182_IMPVALL.H_H-E07140.AT2,5.994525e-01,1.554602e-01,5.994525e-01,7.549127e-01,5.168844e+01,4.820277e+01,3.440000e+00,1
RSN182_IMPVALL.H_H-E07230.AT2,7.843638e-01,1.120023e-01,7.843638e-01,8.963662e-01,1.131481e+02,9.470729e+01,3.785000e+00,1
RSN183_IMPVALL.H_H-E08140.AT2,4.700675e-01,1.495510e-01,4.700675e-01,6.196185e-01,5.449794e+01,4.243501e+01,4.070000e+00,1
RSN183_IMPVALL.H_H-E08230.AT2,7.477751e-01,7.133712e-02,7.477751e-01,8.191122e-01,5.208595e+01,4.191167e+01,4.390000e+00,1
RSN184_IMPVALL.H_H-EDA270.AT2,7.370778e-01,2.904556e-02,7.370778e-01,7.661233e-01,7.560046e+01,4.636691e+01,6.625000e+00,1
RSN184_IMPVALL.H_H-EDA360.AT2,3.057194e-01,1.299849e-01,3.057194e-01,4.357043e-01,4.095280e+01,0,1.820000e+00,0
RSN185_IMPVALL.H_H-HVP225.AT2,7.614537e-01,4.509193e-02,7.614537e-01,8.065457e-01,5.315338e+01,4.877652e+01,6.305000e+00,1
RSN185_IMPVALL.H_H-HVP315.AT2,3.561597e-01,9.749595e-02,3.561597e-01,4.536557e-01,5.146462e+01,2.347293e+01,7.055000e+00,1
RSN20_NCALIF.FH_H-FRN044.AT2,5.391565e-01,1.209217e-01,5.391565e-01,6.600782e-01,3.607381e+01,3.472597e+01,2.080000e+00,1
RSN2114_DENALI_PS10-047.AT2,4.113528e-01,2.528032e-01,4.113528e-01,6.641560e-01,1.157344e+02,6.349041e+01,3.295000e+00,2
RSN2114_DENALI_PS10-317.AT2,4.974223e-01,2.020797e-01,4.974223e-01,6.995020e-01,6.596481e+01,4.802302e+01,3.755000e+00,1
RSN2114_DENALI_PS10-UP.AT2,5.976930e-01,2.638919e-01,5.976930e-01,8.615849e-01,5.113245e+01,4.985980e+01,3.110000e+00,1
RSN2457_CHICHI.03_CHY024E.AT2,5.592975e-01,1.371734e-01,5.592975e-01,6.964709e-01,3.308522e+01,3.195309e+01,2.725000e+00,1
RSN2461_CHICHI.03_CHY028E.AT2,4.239854e-01,1.630908e-01,4.239854e-01,5.870762e-01,3.060718e+01,2.662589e+01,1.525000e+00,1
RSN2495_CHICHI.03_CHY080E.AT2,6.052457e-01,2.047443e-01,6.052457e-01,8.099900e-01,6.998972e+01,7.054067e+01,1.130000e+00,1
RSN250_MAMMOTH.L_L-LUL000.AT2,4.433766e-01,7.031784e-02,4.433766e-01,5.136945e-01,3.033826e+01,3.078040e+01,5.700000e-01,1
RSN250_MAMMOTH.L_L-LUL090.AT2,5.062441e-01,7.973425e-02,5.062441e-01,5.859783e-01,3.413579e+01,3.326734e+01,1.215000e+00,1
RSN2627_CHICHI.03_TCU076E.AT2,6.857401e-01,1.812052e-01,6.857401e-01,8.669453e-01,5.875747e+01,5.763334e+01,1.040000e+00,1
RSN2628_CHICHI.03_TCU078E.AT2,5.797672e-01,6.856851e-02,5.797672e-01,6.483357e-01,5.634488e+01,3.318924e+01,2.740000e+00,1
RSN2655_CHICHI.03_TCU122E.AT2,4.667148e-01,2.562078e-01,4.667148e-01,7.229226e-01,3.010948e+01,2.714175e+01,2.645000e+00,1
RSN2658_CHICHI.03_TCU129E.AT2,4.927320e-01,2.178689e-01,4.927320e-01,7.106009e-01,3.656226e+01,1.858183e+01,4.635000e+00,1
RSN265_VICT_CPE045.AT2,2.107138e-01,1.955198e-01,2.107138e-01,4.062336e-01,3.362583e+01,0,1.170000e+00,0
RSN2734_CHICHI.04_CHY074E.AT2,3.520288e-01,1.342296e-01,3.520288e-01,4.862584e-01,3.288184e+01,3.013230e+01,1.785000e+00,1
RSN2734_CHICHI.04_CHY074N.AT2,4.077990e-01,2.094840e-01,4.077990e-01,6.172830e-01,4.351722e+01,2.662999e+01,3.005000e+00,2
RSN285_ITALY_A-BAG270.AT2,5.555289e-01,1.561201e-01,5.555289e-01,7.116490e-01,3.470581e+01,3.481232e+01,1.827000e+00,1
RSN292_ITALY_A-STU000.AT2,3.823001e-01,3.251500e-01,3.823001e-01,7.074501e-01,3.698623e+01,3.441533e+01,2.148000e+00,2
RSN292_ITALY_A-STU270.AT2,7.706998e-01,8.203014e-02,7.706998e-01,8.527300e-01,7.195703e+01,6.878947e+01,3.396000e+00,1
RSN316_WESMORL_PTS225.AT2,2.925905e-01,3.031464e-01,3.031464e-01,5.957369e-01,5.558276e+01,4.849557e+01,2.815000e+00,2
RSN316_WESMORL_PTS315.AT2,2.170144e-01,4.621616e-02,2.170144e-01,2.632305e-01,3.270565e+01,0,7.615000e+00,0
RSN319_WESMORL_WSM090.AT2,4.633718e-01,1.966934e-01,4.633718e-01,6.600652e-01,4.415823e+01,4.210509e+01,1.330000e+00,1
RSN319_WESMORL_WSM180.AT2,2.992717e-01,3.154637e-01,3.154637e-01,6.147354e-01,3.584278e+01,3.499218e+01,4.155000e+00,2
RSN338_COALINGA.H_H-Z14000.AT2,2.683166e-01,2.689565e-01,2.689565e-01,5.372731e-01,3.493852e+01,0,1.140000e+00,0
RSN3473_CHICHI.06_TCU078E.AT2,5.259445e-01,1.092286e-01,5.259445e-01,6.351731e-01,4.034200e+01,3.728245e+01,8.050000e-01,1
RSN3473_CHICHI.06_TCU078N.AT2,2.987437e-01,1.796163e-01,2.987437e-01,4.783600e-01,3.475443e+01,0,1.030000e+00,0
RSN3474_CHICHI.06_TCU079E.AT2,3.676703e-01,8.716433e-02,3.676703e-01,4.548346e-01,5.077078e+01,4.999140e+01,6.600000e-01,1
RSN3474_CHICHI.06_TCU079N.AT2,1.557694e-01,1.190726e-01,1.557694e-01,2.748420e-01,3.293340e+01,0,1.460000e+00,0
RSN3475_CHICHI.06_TCU080N.AT2,4.668954e-01,7.596833e-02,4.668954e-01,5.428637e-01,3.612898e+01,2.714192e+01,1,1
RSN3548_LOMAP_LEX000.AT2,6.528187e-01,1.983172e-01,6.528187e-01,8.511359e-01,8.583526e+01,8.347865e+01,1.190000e+00,1
RSN3548_LOMAP_LEX090.AT2,6.316237e-01,9.206224e-02,6.316237e-01,7.236860e-01,9.585706e+01,8.370825e+01,1.260000e+00,1
RSN367_COALINGA.H_H-PVB045.AT2,3.148565e-01,1.392454e-01,3.148565e-01,4.541020e-01,3.940222e+01,0,1.180000e+00,0
RSN368_COALINGA.H_H-PVY045.AT2,1.343860e-01,2.944917e-01,2.944917e-01,4.288777e-01,6.053388e+01,0,7.700000e-01,0
RSN368_COALINGA.H_H-PVY135.AT2,1.213930e-01,2.458619e-01,2.458619e-01,3.672549e-01,3.926790e+01,0,8.000000e-01,0
RSN3744_CAPEMEND_BNH270.AT2,7.386071e-01,1.148302e-01,7.386071e-01,8.534373e-01,6.787635e+01,6.183670e+01,5.205000e+00,1
RSN3744_CAPEMEND_BNH360.AT2,4.081110e-01,1.276505e-01,4.081110e-01,5.357615e-01,4.833869e+01,2.449394e+01,4.090000e+00,1
RSN3746_CAPEMEND_CBF270.AT2,4.704407e-01,1.935675e-01,4.704407e-01,6.640082e-01,4.954641e+01,4.499788e+01,1.715000e+00,1
RSN3746_CAPEMEND_CBF360.AT2,5.661103e-01,1.351776e-01,5.661103e-01,7.012879e-01,5.122022e+01,4.366779e+01,2.380000e+00,1
RSN3748_CAPEMEND_FFS270.AT2,4.319180e-01,2.337611e-01,4.319180e-01,6.656790e-01,8.959483e+01,8.867110e+01,1.485000e+00,1
RSN3748_CAPEMEND_FFS360.AT2,4.657606e-01,1.322884e-01,4.657606e-01,5.980490e-01,5.223091e+01,5.061978e+01,1.155000e+00,1
RSN3749_CAPEMEND_FFT270.AT2,4.710538e-01,1.095268e-01,4.710538e-01,5.805806e-01,3.391658e+01,2.867832e+01,3.550000e+00,1
